subj_ID,exp_ID,session,daySession,context,trainingLevel,sniffTime,correctPort,response,latency,poke1Number,poke2Number,poke3Number,cumulative1,cumulative2,cumulative3,firstResponse,timestamp,port1Odor,port2Odor,port3Odor,temp,humidity,pressure,pokeOrder,pokeTimes
Bruce,Mallory,1,1,Training,Training1,4000,port1,port1,14.94040203,1,1,2,4001,1012,4278,port3,10_08_20_11_04_53,SP,MO,Limonene,25.17,43.73,90.85333333,"['port3', 'port2', 'port3', 'port1']","[277, 1012, 4001, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port1,port1,16.82360911,1,0,0,4001,0,0,port1,10_08_20_11_05_32,SP,Limonene,Limonene,25.17,43.73,90.85333333,['port1'],[4001]
Bruce,Mallory,1,1,Training,Training1,4000,port2,port2,8.313100338,8,5,2,16269,5504,445,port1,10_08_20_11_06_55,Limonene,SP,MO,25.17,43.73,90.85333333,"['port1', 'port1', 'port1', 'port1', 'port2', 'port3', 'port1', 'port2', 'port2', 'port1', 'port1', 'port1', 'port2', 'port3', 'port2']","[33, 4001, 4001, 1049, 841, 393, 494, 90, 44, 4001, 2304, 386, 528, 52, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port2,port2,11.73869658,5,1,0,7163,4001,0,port1,10_08_20_11_07_46,Blank,SP,MO,25.17,43.73,90.85333333,"['port1', 'port1', 'port1', 'port1', 'port1', 'port2']","[17, 4001, 2050, 77, 1018, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port1,port1,27.26111889,1,0,0,4001,0,0,port1,10_08_20_11_08_35,SP,Gloves,Blank,25.17,43.73,90.85333333,['port1'],[4001]
Bruce,Mallory,1,1,Training,Training1,4000,port3,port3,5.008987188,2,2,1,6914,574,4001,port1,10_08_20_11_09_23,Cotton,MO,SP,25.17,43.73,90.85333333,"['port2', 'port1', 'port1', 'port2', 'port3']","[323, 4001, 2913, 251, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port3,port3,5.391943216,4,2,1,8281,1558,4001,port1,10_08_20_11_10_06,Limonene,Limonene,SP,25.17,43.73,90.85333333,"['port2', 'port1', 'port1', 'port1', 'port1', 'port2', 'port3']","[695, 4001, 4001, 33, 246, 863, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port2,port2,12.69764161,0,1,0,0,4001,0,port2,10_08_20_11_10_40,Blank,SP,MO,25.17,43.73,90.85333333,['port2'],[4001]
Bruce,Mallory,1,1,Training,Training1,4000,port3,port3,2.874301434,1,1,1,374,399,4001,port3,10_08_20_11_11_11,Gloves,Gloves,SP,25.17,43.73,90.85333333,"['port1', 'port2', 'port3']","[374, 399, 4001]"
Bruce,Mallory,1,1,Training,Training1,4000,port1,port1,6.266494036,4,0,0,4731,0,0,port1,10_08_20_11_11_44,SP,MO,Blank,25.17,43.73,90.85333333,"['port1', 'port1', 'port1', 'port1']","[151, 215, 364, 4001]"
